init_date,forecast_date,geography_polygon,temperature,precipitation,wind_speed
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 40.875], [-77.125, 41.125], [-77.375, 41.125], [-77.375, 40.875], [-77.125, 40.875] ] ] } ",271.42825317382812,6.256933556869626e-05,4.8430111561363809
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 39.875], [-76.625, 40.125], [-76.875, 40.125], [-76.875, 39.875], [-76.625, 39.875] ] ] } ",275.27496337890625,6.256933556869626e-05,4.7472139701846139
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.375, 40.875], [-75.375, 41.125], [-75.625, 41.125], [-75.625, 40.875], [-75.375, 40.875] ] ] } ",272.26559448242188,6.6372042056173086e-05,4.6056526445311263
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.375, 40.375], [-76.375, 40.625], [-76.625, 40.625], [-76.625, 40.375], [-76.375, 40.375] ] ] } ",273.93817138671875,6.6372042056173086e-05,4.8067332244395882
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-75.875, 39.625], [-75.875, 39.875], [-76.125, 39.875], [-76.125, 39.625], [-75.875, 39.625] ] ] } ",276.3721923828125,6.6372042056173086e-05,5.2455241422884056
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 40.375], [-76.625, 40.625], [-76.875, 40.625], [-76.875, 40.375], [-76.625, 40.375] ] ] } ",273.79214477539062,6.6372042056173086e-05,4.6278594252000964
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 40.125], [-77.125, 40.375], [-77.375, 40.375], [-77.375, 40.125], [-77.125, 40.125] ] ] } ",274.11737060546875,6.6372042056173086e-05,4.89595378741154
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 41.125], [-76.875, 41.375], [-77.125, 41.375], [-77.125, 41.125], [-76.875, 41.125] ] ] } ",272.771240234375,7.0174748543649912e-05,4.4756529089560892
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 40.625], [-76.625, 40.875], [-76.875, 40.875], [-76.875, 40.625], [-76.625, 40.625] ] ] } ",273.59231567382812,7.0174748543649912e-05,4.3109436439963957
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-74.875, 41.125], [-74.875, 41.375], [-75.125, 41.375], [-75.125, 41.125], [-74.875, 41.125] ] ] } ",273.38287353515625,7.0174748543649912e-05,4.3989492265598171
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 40.375], [-77.375, 40.625], [-77.625, 40.625], [-77.625, 40.375], [-77.375, 40.375] ] ] } ",273.09402465820312,7.3977455031126738e-05,4.8565198906741918
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.125, 39.625], [-76.125, 39.875], [-76.375, 39.875], [-76.375, 39.625], [-76.125, 39.625] ] ] } ",276.09103393554688,7.3977455031126738e-05,5.1347015257840427
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 39.875], [-76.875, 40.125], [-77.125, 40.125], [-77.125, 39.875], [-76.875, 39.875] ] ] } ",274.8306884765625,7.3977455031126738e-05,4.8148315549154379
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 39.875], [-77.375, 40.125], [-77.625, 40.125], [-77.625, 39.875], [-77.375, 39.875] ] ] } ",273.670166015625,7.3977455031126738e-05,4.8585949328042446
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 39.625], [-77.125, 39.875], [-77.375, 39.875], [-77.375, 39.625], [-77.125, 39.625] ] ] } ",274.94818115234375,7.7780161518603563e-05,5.0451701160760765
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.125, 40.625], [-76.125, 40.875], [-76.375, 40.875], [-76.375, 40.625], [-76.125, 40.625] ] ] } ",272.39544677734375,7.7780161518603563e-05,4.6482610454486055
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 41.375], [-77.375, 41.625], [-77.625, 41.625], [-77.625, 41.375], [-77.375, 41.375] ] ] } ",270.62954711914062,7.7780161518603563e-05,4.8276944823393073
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 39.875], [-77.125, 40.125], [-77.375, 40.125], [-77.375, 39.875], [-77.125, 39.875] ] ] } ",274.07211303710938,7.7780161518603563e-05,4.9816416646024591
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.625, 40.875], [-76.625, 41.125], [-76.875, 41.125], [-76.875, 40.875], [-76.625, 40.875] ] ] } ",273.783935546875,7.7780161518603563e-05,4.1585286216832493
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 40.125], [-77.375, 40.375], [-77.625, 40.375], [-77.625, 40.125], [-77.375, 40.125] ] ] } ",273.32284545898438,8.1582868006080389e-05,4.9073457634547
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 41.125], [-77.375, 41.375], [-77.625, 41.375], [-77.625, 41.125], [-77.375, 41.125] ] ] } ",271.2802734375,8.1582868006080389e-05,4.8062355879394909
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.375, 40.625], [-77.375, 40.875], [-77.625, 40.875], [-77.625, 40.625], [-77.375, 40.625] ] ] } ",271.60299682617188,8.5385574493557215e-05,4.848343000780261
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.375, 39.625], [-76.375, 39.875], [-76.625, 39.875], [-76.625, 39.625], [-76.375, 39.625] ] ] } ",275.47076416015625,8.5385574493557215e-05,5.0402770811937154
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.125, 41.375], [-77.125, 41.625], [-77.375, 41.625], [-77.375, 41.375], [-77.125, 41.375] ] ] } ",271.12185668945312,8.918828098103404e-05,4.60264026585758
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.875, 39.625], [-77.875, 39.875], [-78.125, 39.875], [-78.125, 39.625], [-77.875, 39.625] ] ] } ",274.35610961914062,8.918828098103404e-05,5.1412987775638452
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-77.625, 39.875], [-77.625, 40.125], [-77.875, 40.125], [-77.875, 39.875], [-77.625, 39.875] ] ] } ",273.6363525390625,8.918828098103404e-05,4.754080484754124
12-18-2022,12-18-2022,"{ ""type"": ""Polygon"", ""coordinates"": [ [ [-76.875, 39.625], [-76.875, 39.875], [-77.125, 39.875], [-77.125, 39.625], [-76.875, 39.625] ] ] } ",274.61749267578125,9.2990987468510866e-05,4.9144607244346963
